"acceptedScientificName","LON","LAT"
"Cinnagrostis vicunarum (Wedd.)",-72.0675,-13.35055
"Cinnagrostis vicunarum (Wedd.)",-69.26666,-15.05
"Cinnagrostis vicunarum (Wedd.)",-76.2,-11.33333
"Cinnagrostis vicunarum (Wedd.)",-68.233333,-16.083333
"Cinnagrostis vicunarum (Wedd.)",-76.483333,-11.2
"Cinnagrostis vicunarum (Wedd.)",-77.75,-9.5
"Cinnagrostis vicunarum (Wedd.)",-66.012222,-28.275
"Cinnagrostis vicunarum (Wedd.)",-65.2,-22.216667
"Cinnagrostis vicunarum (Wedd.)",-66.42,-16.83
"Cinnagrostis vicunarum (Wedd.)",-65.58,-17.42
"Cinnagrostis vicunarum (Wedd.)",-66.416667,-16.833333
"Cinnagrostis vicunarum (Wedd.)",-65.583333,-17.416667
"Cinnagrostis vicunarum (Wedd.)",-70.177072,-15.692262
"Cinnagrostis vicunarum (Wedd.)",-75.3412,-11.3357
"Cinnagrostis vicunarum (Wedd.)",-68.15,-16.5
"Cinnagrostis vicunarum (Wedd.)",-69.3,-25
"Cinnagrostis vicunarum (Wedd.)",-65.743889,-26.637778
"Cinnagrostis vicunarum (Wedd.)",-68.616389,-18.933333
"Cinnagrostis vicunarum (Wedd.)",-68.14,-26.92
"Cinnagrostis vicunarum (Wedd.)",-68.05,-16.37
"Cinnagrostis vicunarum (Wedd.)",-65.03,-23.17
"Cinnagrostis vicunarum (Wedd.)",-65.2,-23.18
"Cinnagrostis vicunarum (Wedd.)",-65.44,-24.59
"Cinnagrostis vicunarum (Wedd.)",-64.93,-22.33
"Cinnagrostis vicunarum (Wedd.)",-65.87,-26.61
"Cinnagrostis vicunarum (Wedd.)",-68.13,-16.42
"Cinnagrostis vicunarum (Wedd.)",-65.13,-22.24
"Cinnagrostis vicunarum (Wedd.)",-65.28,-22.4
"Cinnagrostis vicunarum (Wedd.)",-65.39,-23.07
"Cinnagrostis vicunarum (Wedd.)",-66.35,-27.53
"Cinnagrostis vicunarum (Wedd.)",-66.24,-22.9
"Cinnagrostis vicunarum (Wedd.)",-68.12,-16.22
"Cinnagrostis vicunarum (Wedd.)",-65.73,-26.45
"Cinnagrostis vicunarum (Wedd.)",-65.74,-26.64
"Cinnagrostis vicunarum (Wedd.)",-65.92,-22.92
"Cinnagrostis vicunarum (Wedd.)",-66.19,-24.53
"Cinnagrostis vicunarum (Wedd.)",-65.26,-22.25
"Cinnagrostis vicunarum (Wedd.)",-69.78,-30.3
"Cinnagrostis vicunarum (Wedd.)",-65.02,-21.83
"Cinnagrostis vicunarum (Wedd.)",-66.28,-26.76
"Cinnagrostis vicunarum (Wedd.)",-65.59,-22.28
"Cinnagrostis vicunarum (Wedd.)",-65.61,-24.03
"Cinnagrostis vicunarum (Wedd.)",-65.01,-23.47
"Cinnagrostis vicunarum (Wedd.)",-65.28,-22.22
"Cinnagrostis vicunarum (Wedd.)",-65.21,-22.23
"Cinnagrostis vicunarum (Wedd.)",-65.74,-26.66
"Cinnagrostis vicunarum (Wedd.)",-68.17,-16.4
"Cinnagrostis vicunarum (Wedd.)",-65.68,-23.21
"Cinnagrostis vicunarum (Wedd.)",-65.12,-22.27
"Cinnagrostis vicunarum (Wedd.)",-65.18,-22.44
"Cinnagrostis vicunarum (Wedd.)",-65.13,-23.31
"Cinnagrostis vicunarum (Wedd.)",-65.75,-26.41
"Cinnagrostis vicunarum (Wedd.)",-77.584444,-9.489722
"Cinnagrostis vicunarum (Wedd.)",-65.72,-24.04
"Cinnagrostis vicunarum (Wedd.)",-77.048056,-9.637778
"Cinnagrostis vicunarum (Wedd.)",-76.684167,-10.576944
"Cinnagrostis vicunarum (Wedd.)",-65.913889,-28.016667
"Cinnagrostis vicunarum (Wedd.)",-77.619444,-9.579167
"Cinnagrostis vicunarum (Wedd.)",-77.405278,-9.655833
"Cinnagrostis vicunarum (Wedd.)",-67.11047,-26.3291
"Cinnagrostis vicunarum (Wedd.)",-67.0834,-26.288373
"Cinnagrostis vicunarum (Wedd.)",-67.09145,-26.29526
"Cinnagrostis vicunarum (Wedd.)",-72.018056,-13.271361
